OG,branch,dN,dS
OG0015543.fa.json,Rsag_NChap2_final_00015505_RA_1,0.043933003044589,0.2917913007647633
OG0015543.fa.json,TX_maternal_00016155_RA_1,0.0026233246278023,0.0174234232223506
OG0015543.fa.json,TX_paternal_00009493_RA_1,0.0006778505671099,0.0045021028610403
OG0015543.fa.json,buc_00018280_RA_1,0.0257582936418572,0.1710797233599071
OG0015364.fa.json,Node2,0.0086401619079024,0.1716165002079262
OG0015364.fa.json,Rsag_NChap2_final_00015198_RA_1,0.0283743332219462,0.5635894113083882
OG0015364.fa.json,TX_maternal_00015805_RA_1,1.3105150255874308e-10,4.220456073287289e-10
OG0015364.fa.json,TX_paternal_00009895_RA_1,5.756487016455573e-05,0.0011433907903426
OG0015364.fa.json,buc_00019111_RA_1,0.0083668165322251,0.1661871370522597
OG0007473.fa.json,Node2,0.0304215821777086,0.1277610932858712
OG0007473.fa.json,Rsag_NChap2_final_00019665_RA_1,0.0426336415779427,0.1790479083874597
OG0007473.fa.json,TX_maternal_00018058_RA_1,0.0019727893982362,0.0082850960502022
OG0007473.fa.json,TX_paternal_00023666_RA_1,0.0191482389992573,0.0804165915748089
OG0007473.fa.json,buc_00028366_RA_1,0.0446983974887732,0.1877192349146334
OG0007254.fa.json,Node2,0.0069837078640837,0.1247827952995526
OG0007254.fa.json,Rsag_NChap2_final_00020260_RA_1,0.017196173929464,0.3072560727248193
OG0007254.fa.json,TX_maternal_00016994_RA_1,0.0002302447700311,0.0041139444213215
OG0007254.fa.json,TX_paternal_00024330_RA_1,0.0006280638385535,0.0112220560949198
OG0007254.fa.json,buc_00015031_RA_1,0.008574300939424,0.1532030348038159
OG0013092.fa.json,Node2,0.0322751937982935,0.175471868617628
OG0013092.fa.json,Rsag_NChap2_final_00018764_RA_1,0.0427306714867901,0.2323155925858294
OG0013092.fa.json,TX_maternal_00025613_RA_1,1.308198451270398e-10,4.2446626382384005e-10
OG0013092.fa.json,TX_paternal_00028262_RA_1,0.002172765330616,0.0118127623032568
OG0013092.fa.json,buc_00018388_RA_1,0.0271601069111321,0.1476624661445995
OG0011028.fa.json,Node2,0.0591809913222102,0.1914201143970972
OG0011028.fa.json,Rsag_NChap2_final_00003225_RA_1,0.1077572894898874,0.3485394925031312
OG0011028.fa.json,TX_maternal_00005259_RA_1,0.000378716714467,0.0012249540804863
OG0011028.fa.json,TX_paternal_00005802_RA_1,1.313382331582824e-10,4.1909903629512974e-10
OG0011028.fa.json,buc_00006850_RA_1,0.073094788220054,0.2364241019001536
OG0013560.fa.json,Node2,0.0259419459686741,0.1048728282839972
OG0013560.fa.json,Rsag_NChap2_final_00009567_RA_1,0.0447058190264692,0.1807276018429693
OG0013560.fa.json,TX_maternal_00009646_RA_1,0.0032314297840165,0.0130633677697184
OG0013560.fa.json,TX_paternal_00016587_RA_1,0.0065756499319749,0.0265827015060631
OG0013560.fa.json,buc_00002187_RA_1,0.0417447756596829,0.1687572973437839
OG0013347.fa.json,Node2,0.0900720283593673,0.1798671085600425
OG0013347.fa.json,Rsag_NChap2_final_00021071_RA_1,0.111130169828671,0.2219186431676571
